pn,sheet,cluster,man,model,name,cat,qty,unit,verdict,stock_grade,in_stock,stock_qty,lead_time,covers_qty,seller,seller_country,seller_url,seller_kind,price,currency,pack_qty,price_usd,unit_price,line_value_full_volume,in_firm_total,our_usd_lo,our_usd_hi,our_conf,price_gap,real_maker,real_pn,substitute,checked_by,note,rv_verdict,rv_price_usd,rv_maker,rv_channel,rv_blocker,rv_next_step,addressee_1,addressee_2,addressee_3,addressee_4
20367552,НВН,НВН · T3 Energy Services · датчики и КИП,T3 Energy Services,Гидравлическая станция управления превенторов 2B6012008B15T34P,Манометр жидкостной NOV NOV20367552,датчики и КИП,2,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,,,"Манометр с жидкостным заполнением по ASME B40.100 / EN 837-1, 316L, глицерин — WIKA 233.50 или Ashcroft 1279 Duragauge",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Манометр жидкостного заполнения на гидростанции управления превенторами 2B6012008B15T34P. Шильда NOV вторична: станция типа Koomey от T3 Energy Services (T3 → Robbins & Myers 2011 → NOV 2013), манометр покупной. Штатный набор по API 16D/RP 53: аккумулятор 0-6000 psi, манифольд 0-6000 psi, кольцевой 0-3000 psi. Изготовитель читается прямо с циферблата — нужно фото. Уточнить: диапазон и шкалу (psi/бар), Ø циферблата, 1/4 или 1/2 NPT, монтаж, safety-pattern по ASME B40.100.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
50550137,НВН,НВН · Drillmec S.p.A. · датчики и КИП,Drillmec S.p.A.,Буровой насос 12T1600,Манометр Drillmec 50550137,датчики и КИП,3,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,,,"Манометр EN 837-1, глицериновое заполнение, 316L — WIKA 233.50 или Nuova Fima MGS18 (NS 100/160)",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Изделие: манометр бурового насоса Drillmec 12-T-1600. Их на насосе несколько: нагнетание (0-350/500 бар, с разделителем и демпфером пульсаций), приём/подпор (0-10 бар), масло системы смазки, предзарядка пневмокомпенсатора. Drillmec (Италия) манометры покупает — Nuova Fima, MGS, WIKA Italia; по номеру изготовитель не установлен. Уточнить: точка установки и среда, диапазон, NS 63/100/160, присоединение (G1/2 B, 1/2 NPT, 1502), класс точности, нужен ли разделитель сред. Живой карточки нет.","НЕЧЕМ ПРОВЕРИТЬ: цена изготовителя найдена, а вилки по строке в наших данных нет вовсе — сравнивать не с чем.",25.06,,"Изготовитель по собственному прейскуранту. Это НЕ предложение и не подтверждение наличия: прейскурант говорит, по какой цене позиция числилась в номенклатуре. Источник: заводской прейскурант Drillmec, 2015 год.",Цена датирована прошлым и не является предложением; наличие и срок неизвестны; авторизованный представитель по строке не назван.,Для порядка величин закладывать 25.06 USD за штуку. Это цена изготовителя на дату прейскуранта  а не сегодняшняя: к моменту заказа она изменится  и запрашивать её надо письмом.,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
9014883,НВН,НВН · Hydac · датчики и КИП,Hydac,,Датчик давления 7K-9014883,датчики и КИП,2,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,HYDAC,,,сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Не подтверждено: WebSearch исчерпан; hydac.com/shop по номеру отдал 404. Префикс 7K- в описании — складской код заказчика, в артикул HYDAC он не входит. HYDAC сам изготовитель, выигрыш не в первоисточнике, а в канале. Датчики давления HYDAC: HDA 4000 (преобразователь), EDS 3000 (реле давления) — для опознания нужны диапазон давления, выходной сигнал и присоединение. Номер пробивается через hydac.com/en/e-tools/product-information-search/.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
ALS-500ML2,НВН,НВН · Aphe · датчики и КИП,Aphe,,Датчик положения PB-KDG-01,датчики и КИП,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,,,"Блок конечных выключателей арматуры: Rotork YTC APL-510N, Soldo SK, Westlock 2002 (NAMUR / ISO 5211). Линейный датчик 500 мм: Gefran LTC-M-0500, Balluff BTL7-A501-M0500, Opkon LPT-500",сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. «Aphe» как изготовитель не опознан, PB-KDG-01 — позиционное обозначение, не артикул. Два чтения ALS-500ML2: (1) блок конечных выключателей арматуры серии ALS-100...500 (алюм. корпус, M = микровыключатели, 2 шт.); (2) датчик линейного положения, ML = measuring length 500 мм — по аналогии с ROTA LNKY 0275 (275 мм) в этой же заявке. Поиском не подтверждено. Нужно: фото шильды, на чём стоит, ход или угол, выход (контакты / 4-20 мА), питание, Ex.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
ATS-21127-0003-00,НВН,НВН · WIKA · датчики и КИП,WIKA,,Блок датчиков температуры 700000275,датчики и КИП,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,WIKA,ATS-21127-0003-00,,сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Поиском не подтверждено: сайт WIKA закрыт для автоматического доступа, у дистрибьюторов позиции нет. По первоисточнику: 700000275 — номер бурового OEM, ATS-21127-0003-00 — номер на стороне WIKA, то есть блок термодатчиков изготавливает именно WIKA и запрашивать нужно напрямую у неё, а не по номеру OEM. Сам «блок» обычно собирается из серийных ТС Pt100 в гильзах: получив чертёж, позиция часто раскладывается на серийные датчики (WIKA TR10 и аналоги), что заметно дешевле сборки.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
BA327E-SS,НВН,НВН · BEKA · датчики и КИП,BEKA,,Измеритель BEKA BA327E-SS,датчики и КИП,2,ШТ,pn_found_no_stock,нет,unknown,,,unknown,BEKA associates (изготовитель),Великобритания,https://www.beka.co.uk/directory_number.html,component_maker,,USD,1,,,,нет,,,,,BEKA associates Ltd,,,сплошная проверка остатка 09.2026,"Артикул подтверждён каталогом изготовителя: BA327E-SS = «Rugged Loop powered indicator, intrinsically safe, 5 digit + bargraph, panel MTG [SS]» — индикатор с питанием от токовой петли, 5 разрядов плюс баргаф, Ex ia, щитовой монтаж, нерж. корпус. Обратить внимание: BA327E и BA337E — разные приборы (индикатор петли против тотализатора с внешним питанием), не путать при заказе. Цены/остатка на сайте изготовителя нет, только запрос.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | по этой детали,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
BA337E-SS,НВН,НВН · BEKA · датчики и КИП,BEKA,,Измеритель BEKA BA337E-SS,датчики и КИП,2,ШТ,pn_found_no_stock,нет,unknown,,,unknown,BEKA associates (изготовитель),Великобритания,https://www.beka.co.uk/directory_number.html,component_maker,,USD,1,,,,нет,,,,,BEKA associates Ltd,,,сплошная проверка остатка 09.2026,"Артикул подтверждён каталогом изготовителя (указатель по номерам на beka.co.uk): BA337E-SS = «Rugged Pulse input Externally powered rate totaliser, intrinsically safe, panel MTG [SS]» — тотализатор/счётчик по импульсному входу, внешнее питание, Ex ia, щитовой монтаж, корпус из нерж. стали. Ссылка — указатель каталога изготовителя, не магазинная карточка: цены и остатка нет, поставка через BEKA и её дистрибьюторов по запросу.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | по этой детали,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
BFS-10-N-G1-SS-WE-ST-EX 10...30,НВН,НВН · BARKSDALE · датчики и КИП,BARKSDALE,,Расходомер Drillmec 47108414,датчики и КИП,1,ШТ,oem_only,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,Barksdale GmbH (группа Crane Co.),BFS-10-N-G1-SS-WE-ST-EX,,сплошная проверка остатка 09.2026,"Под номером Drillmec 47108414 — расходомер (реле протока) Barksdale серии BFS-10, семейство подтверждено на barksdale.com и barksdale.de: BFS-10-N/BFS-10-O, диапазоны от 0,005–0,06 до 60–150 л/мин, есть исполнения ATEX/Ex. Расшифровка нашего кода: G1 — резьба, SS — нержавейка, WE — вода, ST — без дисплея, EX — взрывозащита, 10...30 — питание В DC. Чешский дистрибьютор hydropress.cz держит близкое исполнение BFS-10-N-G1/2-SS-WE-ST, но сайт отдал 403. Цена/наличие не подтверждены; изделие конфигурируемое — срок обычно недели.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
BTL7-E500-M0410-B-DEXB-K10,НВН,НВН · BALUFF · датчики и КИП,BALUFF,,Датчик положения 7К-9036369,датчики и КИП,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,Balluff GmbH,BTL7-E500-M0410-B-DEXB-K10,,сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Поиском не подтверждено. По первоисточнику: 7К-9036369 — складской номер бурового OEM, реальное изделие — Balluff Micropulse BTL7, ход 410 мм, Ex-исполнение DEXB, разъём K10. Заказывать у Balluff по BTL7-…, не по номеру OEM. Входит в одну тройку с 7К-9036367 (530 мм) и 7К-9036368 (1200 мм) — три датчика одного типа, отличается только ход; объединить в один запрос к Balluff. Ex-версии BTL7 под заказ, ориентир 4–8 недель плюс логистика.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
BTL7-E500-M0500-J-DEXC-TA12,НВН,НВН · BALUFF · датчики и КИП,BALUFF,,Датчик 9036321 Cameron TD-500-AC-2M,датчики и КИП,1,ШТ,pn_not_found,нет,unknown,,,unknown,,,,unknown,,USD,1,,,,нет,,,,,Balluff GmbH,BTL7-E500-M0500-J-DEXC-TA12,,сплошная проверка остатка 09.2026,"ранняя проверка 08.2026: артикул не найден. Поиском не подтверждено. По первоисточнику: 9036321 — складской номер Cameron/SLB для TD-500-AC-2M, реальное изделие — Balluff Micropulse BTL7, стержневой магнитострикционный датчик, ход 500 мм, взрывозащищённое исполнение DEXC, вывод TA12. Заказывать у Balluff по BTL7-…, а не по 9036321 у Cameron. Ex-конфигурации BTL7 изготавливаются под заказ, ориентир 4–8 недель плюс логистика; складом мира такая позиция не закрывается.",,,,,,,BEKA associates | Великобритания | webenquiries@beka.co.uk | +44 1462 438301 | кластер,eBay | Австралия | sales@4dcontrols.com.au | +61 2 4016 0268;+61 1300 731 156 | кластер,Industrie Technik | IT | info@industrietechnik.it | +39 0472 830626 | кластер,Positek Ltd | Великобритания | support@positek.com | +44 1242 820027 | кластер
