№;Парт-номер;Наименование RU;Наименование EN;Кол-во;Ед.;Узел;Ходовой класс;ТН ВЭД (ориентир);EXW оценка, $/шт.;EXW min, $;EXW max, $;Строка EXW, $;Аналог КНР, $/шт.;Б/у ЮАР, $/шт.;Куда идти по порядку;Что спросить
1;285-3384;Трубопровод охладителя наддувочного воздуха;Aftercooler Air Line Tube Assembly;3;шт;Наддув и охлаждение;узловой;8409 99;800;450;1400;2400;280;320;Barloworld (дилер ЮАР) → Склады КНР → Афтермаркет КНР;применимость по серийному номеру машины, срок от завода, есть ли остаток в дилерской сети ЮАР
2;128-5347;Распределитель рулевой гидравлики;Valve Gp-Steering;3;шт;Рулевое управление;узловой;8481 20;3800;2200;6500;11400;;1520;Barloworld (дилер ЮАР) → Склады КНР → Афтермаркет КНР;применимость по серийному номеру машины, срок от завода, есть ли остаток в дилерской сети ЮАР
3;141-1974;Гидроцилиндр подъёма;Cylinder Gp-Lift;6;шт;Гидравлика рабочего оборудования;тяжёлый;8412 21;6000;4000;9000;36000;2100;2400;Barloworld (дилер ЮАР) → Разборы ЮАР → Склады КНР;"новый / Cat Reman по обмену / б/у с разбора — три цены и три срока; по цилиндрам отдельно спросить ремкомплект уплотнений, если заказчик готов на восстановление"
4;180-9367;Гидроцилиндр опрокида;Cylinder Gp-Tilt;3;шт;Гидравлика рабочего оборудования;тяжёлый;8412 21;5200;3500;8000;15600;1820;2080;Barloworld (дилер ЮАР) → Разборы ЮАР → Склады КНР;"новый / Cat Reman по обмену / б/у с разбора — три цены и три срока; по цилиндрам отдельно спросить ремкомплект уплотнений, если заказчик готов на восстановление"
5;180-8500;Рулевой гидроцилиндр;Cylinder Gp-Steering;6;шт;Рулевое управление;тяжёлый;8412 21;2900;1800;4500;17400;1015;1160;Barloworld (дилер ЮАР) → Разборы ЮАР → Склады КНР;"новый / Cat Reman по обмену / б/у с разбора — три цены и три срока; по цилиндрам отдельно спросить ремкомплект уплотнений, если заказчик готов на восстановление"
6;380-0049;Жгут проводов кабины, задний;Harness As-Cab (Rear);3;шт;Электрика кабины;узловой;8544 30;1800;1100;2800;5400;;;Barloworld (дилер ЮАР) → Склады КНР → Афтермаркет КНР;применимость по серийному номеру машины, срок от завода, есть ли остаток в дилерской сети ЮАР
7;380-0050;Жгут проводов кабины, наружный;Harness As-Cab (Outer);3;шт;Электрика кабины;узловой;8544 30;1800;1100;2800;5400;;;Barloworld (дилер ЮАР) → Склады КНР → Афтермаркет КНР;применимость по серийному номеру машины, срок от завода, есть ли остаток в дилерской сети ЮАР
8;217-0262;Крышка;Cover;3;шт;Облицовка и крышки;массовый;8431 49;190;80;450;570;66;76;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
9;174-6490;Педаль;Pedal;3;шт;Органы управления;массовый;8431 49;450;250;800;1350;158;180;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
10;298-7517;Кабель;Cable;3;шт;Электрика;массовый;8544 30;260;120;500;780;91;104;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
11;258-6268;Крышка;Cover;3;шт;Облицовка и крышки;массовый;8431 49;190;80;450;570;66;76;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
12;186-9588;Кабель;Cable;3;шт;Электрика;массовый;8544 30;260;120;500;780;91;104;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
13;228-8581;Проводка;Wiring;3;шт;Электрика;узловой;8544 30;850;500;1500;2550;;;Barloworld (дилер ЮАР) → Склады КНР → Афтермаркет КНР;применимость по серийному номеру машины, срок от завода, есть ли остаток в дилерской сети ЮАР
14;370-2579;Кабель;Cable;1;шт;Электрика;массовый;8544 30;260;120;500;260;91;104;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
15;424-3750;Кабель;Cable;2;шт;Электрика;массовый;8544 30;260;120;500;520;91;104;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
16;294221 (?);Коробка переключения передач;Transmission Gp;2;шт;Трансмиссия;тяжёлый;8483 40;28000;22000;38000;56000;;11200;Barloworld (дилер ЮАР) → Разборы ЮАР → Склады КНР;"новый / Cat Reman по обмену / б/у с разбора — три цены и три срока; по цилиндрам отдельно спросить ремкомплект уплотнений, если заказчик готов на восстановление"
17;263-2250;Крышка;Cover;3;шт;Облицовка и крышки;массовый;8431 49;190;80;450;570;66;76;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
18;307-0959;Крышка;Cover;3;шт;Облицовка и крышки;массовый;8431 49;190;80;450;570;66;76;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
19;186-9337;Крышка в сборе;Cover As;3;шт;Облицовка и крышки;массовый;8431 49;300;150;600;900;105;120;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
20;467-6689;Кронштейн;Bracket;3;шт;Крепёж и кронштейны;массовый;8431 49;260;120;600;780;91;104;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
21;235-9868;Трубка;Tube;3;шт;Трубопроводы;массовый;8431 49;320;150;700;960;112;128;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
22;285-0385;Крепёж;Hardware;3;шт;Крепёж и кронштейны;массовый;7318 15;55;20;120;165;19;22;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
23;186-8515;Опора;Mount;6;шт;Крепёж и кронштейны;массовый;8431 49;320;150;700;1920;112;128;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
24;186-9451;Угольник;Elbow;3;шт;Трубопроводы;массовый;7307 22;120;60;260;360;42;48;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
25;214-8828;Переходник;Adapter;3;шт;Трубопроводы;массовый;7307 22;110;50;220;330;38;44;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
26;216-8014;Трубка гидравлическая;Tube-Hydraulic;3;шт;Трубопроводы;массовый;8412 90;320;150;700;960;112;128;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
27;216-8016;Трубка в сборе;Tube As;3;шт;Трубопроводы;массовый;8412 90;320;150;700;960;112;128;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
28;292-8408;Бак радиатора в сборе;Tank As-Radiator;3;шт;Наддув и охлаждение;узловой;8419 90;2700;1600;4500;8100;945;1080;Barloworld (дилер ЮАР) → Склады КНР → Афтермаркет КНР;применимость по серийному номеру машины, срок от завода, есть ли остаток в дилерской сети ЮАР
29;105-8705;Крышка;Cover;3;шт;Облицовка и крышки;массовый;8431 49;190;80;450;570;66;76;Трейдеры ЮАР → Склады КНР → Разборы ЮАР;"наличие на складе сегодня, статус детали и вес брутто для авиатарифа; при отсутствии оригинала — аналог с подтверждением размеров"
