Класс;Позиций;С КП;Продавали;Машины;CN $;OEM-Китай $;WMS $;Ранг;Поставщик;Страна;Email;Телефон;WhatsApp/WeChat;КП по классу;Статус CRM;Направление CRM;Капитал / канал;Приоритет теста
Хвостовик (shank adapter);3;0;0;COP 3060;;;;1;Shandong KAT Drilling;Китай, Шаньдун, Ляочэн;;+86 635 8585985;WA/WeChat 86 13969583325;;К/П;Shank adapters COP 1036-2238;иностр. капитал в базе не отмечен;2 — котировок нет, спрос одна машина
Хвостовик (shank adapter);3;0;0;COP 3060;;;;2;Litian / Litech;Китай, Ляонин, Хулудао;litian@litechtools.com;+86 18080948772;;;Ответил — взял в работу;Хвостовики COP1028-4050;иностр. капитал в базе не отмечен;2 — котировок нет, спрос одна машина
Хвостовик (shank adapter);3;0;0;COP 3060;;;;3;Pulanka Rock Tools;Китай, Чжэцзян, Тайчжоу;elma@cnpulk.com;+86 576 82737372;;;Ответил — взял в работу;Хвостовики + drifter ЗИП;иностр. капитал в базе не отмечен;2 — котировок нет, спрос одна машина
Хвостовик (shank adapter);3;0;0;COP 3060;;;;4;Xiamen Bestlink;Китай, Фуцзянь, Сямэнь;;+86 13600966313;WA/WeChat 86 13600966313;;Написали — ждём;Хвостовики shank COP1838/4050;иностр. капитал в базе не отмечен;2 — котировок нет, спрос одна машина
Хвостовик (shank adapter);3;0;0;COP 3060;;;;5;GMD Equipment;Китай, Фуцзянь, Сямэнь;info@gmd-eqpt.com;;;;Написали — ждём (прозвон);Хвостовики shank COP1838;иностр. капитал в базе не отмечен;2 — котировок нет, спрос одна машина
Хвостовик (shank adapter);3;0;0;COP 3060;;;;6;Prodrill (Xiamen);Китай, Фуцзянь, Сямэнь;sales@prodrill.com.cn;+86 18959243380;;;Написали — ждём (прозвон);Хвостовики shank COP1838 + буры;иностр. капитал в базе не отмечен;2 — котировок нет, спрос одна машина
Буксы и втулки вращения, направляющие втулки;20;16;3;COP 3060, COP 4050, COP MD 20, COP RR14, COP 1028;71.0;17.7;309.7;1;Shandong KAT Drilling;Китай, Шаньдун, Ляочэн;;+86 635 8585985;WA/WeChat 86 13969583325;3;К/П;Shank adapters COP 1036-2238;иностр. капитал в базе не отмечен;1 — четыре независимых котировки, разрыв цен в 4 раза
Буксы и втулки вращения, направляющие втулки;20;16;3;COP 3060, COP 4050, COP MD 20, COP RR14, COP 1028;71.0;17.7;309.7;2;Xiamen Yonglianfeng;Китай, Фуцзянь, Сямэнь;bin@ylfpart.com;+86 18874204200;WA/WeChat 86 18874204200;3;К/П;Металл COP1838/1840;иностр. капитал в базе не отмечен;1 — четыре независимых котировки, разрыв цен в 4 раза
Буксы и втулки вращения, направляющие втулки;20;16;3;COP 3060, COP 4050, COP MD 20, COP RR14, COP 1028;71.0;17.7;309.7;3;Jinhua Fuxuan Machinery;Китай, Чжэцзян, Цзиньхуа;tiffany@fuxuan-machine.com;+86 15268086116;WA/WeChat 86 15268086116;3;К/П;Металл / bushing rock drill;иностр. капитал в базе не отмечен;1 — четыре независимых котировки, разрыв цен в 4 раза
Буксы и втулки вращения, направляющие втулки;20;16;3;COP 3060, COP 4050, COP MD 20, COP RR14, COP 1028;71.0;17.7;309.7;4;Mindrill Systems;Индия;salessupport@mindrill.com;+91 98305 94274;;1;К/П;Дрифтеры-аналоги 1838/2238/MD20;иностр. капитал в базе не отмечен;1 — четыре независимых котировки, разрыв цен в 4 раза
Буксы и втулки вращения, направляющие втулки;20;16;3;COP 3060, COP 4050, COP MD 20, COP RR14, COP 1028;71.0;17.7;309.7;5;Litian Heavy Industry Machinery Co., Ltd. (力天重工 / Litech);Китай, Ляонин, Хулудао;litian@litechtools.com;+86 18080948772;;;Ответил — взял в работу;Хвостовики COP1028-4050;иностр. капитал в базе не отмечен;1 — четыре независимых котировки, разрыв цен в 4 раза
Буксы и втулки вращения, направляющие втулки;20;16;3;COP 3060, COP 4050, COP MD 20, COP RR14, COP 1028;71.0;17.7;309.7;6;"Jiangxi Siton Machinery Manufacturing Co., Ltd. (SITON; globalsiton.co";China;;;;;Ответил — взял в работу;Внутренности COP: piston/guide/bushing/driver;иностр. капитал в базе не отмечен;1 — четыре независимых котировки, разрыв цен в 4 раза
Буксы и втулки вращения, направляющие втулки;20;16;3;COP 3060, COP 4050, COP MD 20, COP RR14, COP 1028;71.0;17.7;309.7;исключён;Sanshan Rock Tools (Atlas Copco/Epiroc rock drilling consumables);;;;;3;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Буксы и втулки вращения, направляющие втулки;20;16;3;COP 3060, COP 4050, COP MD 20, COP RR14, COP 1028;71.0;17.7;309.7;исключён;Zuanshan Mining Machinery Co., Ltd / Shandong Rock Drilling Tools Co.,;;;;;3;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
Буксы и втулки вращения, направляющие втулки;20;16;3;COP 3060, COP 4050, COP MD 20, COP RR14, COP 1028;71.0;17.7;309.7;исключён;Shandong Rock Drilling Tools Co., Ltd. (Sanshan / sanshanrocktools.com;;;;;3;К/П;;"НЕ ОПЦИЯ: капитал OEM — Капитал OEM: по странице компании — с августа 2016 дочернее предприятие Atlas Copco (в ODM-реестре базы отмечено как бывшее СП с Atlas Copco/Epiroc 2013–2020). Для размещения не опция; котировки — только ценовой ориентир";
