kv_pn;epiroc_pn;desc;cls;qty;est_cost;target;sum_target
KV30 0007;3115 3050 00;КОЛПАЧКОВАЯ ГАЙКА;Метиз/пружина;30;0.8;0.96;28.8
KV30 0008;3115 3051 00;ШАЙБА;Метиз/пружина;30;0.8;0.96;28.8
KV30 0009;3115 5005 02;ШПИЛЬКА;Метиз/пружина;30;0.8;0.96;28.8
KV30 0010;3115 5004 01;БОКОВОЙ БОЛТ;Метиз/пружина;30;0.8;0.96;28.8
KV30 0013;3115 5714 00;НАПРАВЛЯЮЩАЯ ВТУЛКА;Втулка направляющая/букса;5;20.0;24.0;120.0
KV30 0019;3115 5717 00;РАСПОРНОЕ КОЛЬЦО;Кольцо стопорное/распорное (сталь);20;1.5;1.8;36.0
;-;СТОПОРНОЕ КОЛЬЦО (СУХАРЬ);Кольцо стопорное/распорное (сталь);20;1.5;1.8;36.0
KV30 0032;3115 5728 02;ГОЛОВА ПРОМЫВКИ;Голова промывки;3;50.0;60.0;180.0
KV30 0077;3115 3570 00;ДРАЙВЕР;Драйвер (вращатель);3;60.0;72.0;216.0
KV30 0093;3115 5710 00;ГИЛЬЗА;Гильза цилиндра;2;110.0;132.0;264.0
