pp;catalog_no;name;cls;qty;est_cost;target;quote_usd;quote_sup;quote_raw;verdict;sum_target;sum_quote
370;3115901163;Комплект ремон. 3115 9011 63 Epiroc;Комплект уплотнений;10;12.0;14.4;270.97;WMS;270.97 USD;торговаться до цели;144.0;2709.7
371;3115917094;Комплект ремон. 3115 9170 94 Atlas Copco;Комплект уплотнений;10;12.0;14.4;19.6;Sanshan;142.0 CNY;торговаться до цели;144.0;195.96
372;3115153600;Втулка 3115 1536 00 Epiroc;Втулка прочая;5;12.0;14.4;11.73;Sanshan;85.0 CNY;брать по КП;72.0;58.65
373;3115336500;Уплотнение 3115 3365 00 Atlas Copco;Уплотнение/O-ring NBR;50;0.2;0.24;0.28;Sanshan;2.0 CNY;торговаться до цели;12.0;13.8
374;3115376800;Клапан 3115 3768 00 Atlas Copco;Клапан/седло (мелкое);10;1.5;1.8;0.83;Sanshan;6.0 CNY;брать по КП;18.0;8.28
375;3115901184;Комплект уплот. 3115 9011 84 Epiroc;Комплект уплотнений;10;12.0;14.4;99.36;Sanshan;720.0 CNY;торговаться до цели;144.0;993.6
376;3115901218;Комплект уплот. 3115 9012 18 Epiroc;Комплект уплотнений;10;12.0;14.4;4.97;Sanshan;36.0 CNY;брать по КП;144.0;49.68
377;3115305900;Манжета 3115 3059 00 Atlas Copco;Манжета/скребок PU;30;0.8;0.96;5.73;WMS;5.73 USD;торговаться до цели;28.8;171.9
378;3115523400;Втулка поршня 3115 5234 00 Atlas Copco;Втулка поршня (цементуемая);5;18.0;21.6;2.03;WMS;2.03 USD;брать по КП;108.0;10.15
379;3115306000;Пыльник 3115 3060 00 Atlas Copco;Прочее (мелкая механика);10;2.0;2.4;2.69;WMS;2.69 USD;торговаться до цели;24.0;26.9
380;3115233300;Уплотнение 3115 2333 00 Atlas Copco;Уплотнение/O-ring NBR;50;0.2;0.24;0.28;Sanshan;2.0 CNY;торговаться до цели;12.0;13.8
381;3115519000;Кольцо 3115 5190 00 Atlas Copco;Кольцо (резин.);50;0.2;0.24;0.28;Sanshan;2.0 CNY;торговаться до цели;12.0;13.8
382;3115328917;Кольцо 3115 3289 17 Atlas Copco;Кольцо (резин.);50;0.2;0.24;0.36;Sanshan;2.6 CNY;торговаться до цели;12.0;17.94
383;3115305600;Шпилька 3115 3056 00 Epiroc;Метиз/пружина;30;0.8;0.96;88.17;WMS;88.17 USD;торговаться до цели;28.8;2645.1
384;3115305500;Шпилька 3115 3055 00 Atlas Copco;Метиз/пружина;30;0.8;0.96;88.17;WMS;88.17 USD;торговаться до цели;28.8;2645.1
385;3115306400;Втулка 3115 3064 00 Atlas Copco;Втулка прочая;5;12.0;14.4;22.04;WMS;22.04 USD;торговаться до цели;72.0;110.2
386;3115359802;Втулка поршня 3115 3598 02 Atlas Copco;Втулка поршня (цементуемая);5;18.0;21.6;309.68;WMS;309.68 USD;торговаться до цели;108.0;1548.4
387;3115357400;Втулка направляющая 3115 3574 00 Epiroc;Втулка направляющая/букса;5;20.0;24.0;309.68;WMS;309.68 USD;торговаться до цели;120.0;1548.4
388;3115203100;Муфта 3115 2031 00 Atlas Copco;Муфта;5;20.0;24.0;1322.58;WMS;1322.58 USD;торговаться до цели;120.0;6612.9
389;3115355000;Вращатель 3115 3550 00 Epiroc;Прочее (мелкая механика);10;2.0;2.4;220.43;WMS;220.43 USD;торговаться до цели;24.0;2204.3
390;3115601036;Кольцо 3115 6010 36 Epiroc;Кольцо (резин.);50;0.2;0.24;308.6;WMS;308.6 USD;торговаться до цели;12.0;15430.0
391;3115601035;Поршень экстрактора 3115601035 Epiroc;Поршень-ударник;2;100.0;120.0;464.52;WMS;464.52 USD;торговаться до цели;240.0;929.04
392;3115282300;Поршень 3115 2823 00 Atlas Copco;Поршень-ударник;2;100.0;120.0;752.69;WMS;752.69 USD;торговаться до цели;240.0;1505.38
393;3115531400;Драйвер 3115 5314 00 Atlas Copco;Драйвер (вращатель);3;60.0;72.0;288.0;YLF;288.0 USD;торговаться до цели;216.0;864.0
394;3115505002;Втулка поршня 3115 5050 02 Atlas Copco;Втулка поршня (цементуемая);5;18.0;21.6;53.82;KAT;390.0 CNY;торговаться до цели;108.0;269.1
395;3115183300;Направляющая 3115 1833 00 Atlas Copco;Втулка направляющая/букса;5;20.0;24.0;8.0;Sanshan;58.0 CNY;брать по КП;120.0;40.02
396;3115324400;Поршень 3115 3244 00;Поршень-ударник;2;100.0;120.0;77.28;Sanshan;560.0 CNY;брать по КП;240.0;154.56
