Компания;Страна;Город;Тип;Релевантность SGT-400;Сайт;Email;Телефон;Контакт;Дов.;Подтверждение
ADS Innotech Pvt. Ltd.;Индия;Sanaswadi, Pune, Maharashtra;завод (сварка/мехобработка жаропрочных сплавов), реверс-инжиниринг;Профильный изготовитель деталей камеры сгорания: на сайте отдельный продукт «Gas Turbine Combustion Liner Spares» — детали жаровых труб, скуп-кольца (scoop rings), уплотнения hula seals, tube junctions, вставки сопловых лопаток (vane inserts), эксцентриковые болты, лабиринтные блоки. Работают именно на «горячих» марках: Hastelloy X, Alloy 617, L605 (Haynes 25), X-750, X22CrMoV12.1 — это ровно материалы жаровой трубы и горелочного узла. Заявляют реверс-инжиниринг и взаимозаменяемость с OEM, уже экспортируют ЗИП ГТУ в Европу и Китай. Один из немногих индийских кандидатов на реальное изготовление узлов камеры сгорания MW21215M по образцу.;https://www.adsinnotech.com;"не найдено (на сайте только форма обратной связи; корпоративный домен @adsinnotech.com подтверждён по профилям сотрудников)";;;med;Сайт adsinnotech.com, страница gas-turbine-spares.html: «Combustion Liner Spares, Critical machining parts, Seals... scoop rings, hula seals, tube junctions, vane inserts, eccentric bolts, labyrinth blocks», материалы «Alloy 617, Hastelloy X, X22CrMoV 12.1, L 605, X750», «reverse engineered from OEM components... interchangeable with OEM parts». Главная страница: основаны в 2016, специализация — «performance-critical applications in Stainless Steel, Nickel based alloys, Titanium metallurgy», экспорт ЗИП ГТУ в Европу и Китай. Адрес с contact-us.php: 64, B.U. Bhandari Industrial Estate, Pune Nagar Road, Sanaswadi, Pune-412 208.
ANATCO LLC;ОАЭ;Дубай;трейдер / поставщик ЗИП (aftermarket);Прямо заявляет поставку ЗИП по всей линейке Siemens: SGT-100, SGT-200, SGT-300, SGT-400 (13 МВт), SGT-500, SGT-600, SGT-700, SGT-750, SGT-800. Номенклатура включает горячую часть: жаровые трубы/лайнеры камеры сгорания (combustion liners), transition pieces, combustion cans, узлы свечей зажигания, сопловые аппараты (nozzles), рабочие лопатки (buckets), бандажи (shrouds), а также компрессорные лопатки и IGV. Наиболее прямое совпадение по SGT-400 из всего сегмента ОАЭ.;https://www.anatco.ae/gas.php;salesdxb@anatco.ae;+971 4 3455799;;high;"На странице anatco.ae/gas.php в разделе Siemens явно перечислено: «SGT-100, SGT-200, SGT-300, SGT-400 Gas Turbine (13 MW), SGT-500, SGT-600, SGT-700, SGT-750 and SGT-800». Там же перечень категорий: «Combustion systems: Liners, transition pieces, combustion cans, spark plug assemblies; Hot gas path: buckets, nozzles, shrouds». Компания позиционируется как «a global aftermarket supplier of quality OEM replacement parts». Адрес: Floor 37, Office 3706, Latifa Tower, Sheikh Zayed Road, Dubai, PO Box 40118, факс +971 4 3455734."
ASH Precision Engineering Ltd;Великобритания;London;производитель прецизионных деталей / поставщик aftermarket;Заявленное покрытие ровно по нашей линейке: Siemens SGT-100, SGT-200, SGT-400, SGT-500, SGT-600, SGT-800 и Ruston TA, TB, TD. Делают aftermarket-детали горячей секции — рабочие и сопловые лопатки (blades, vanes) и сопутствующие компоненты из никелевых, титановых и жаропрочных сплавов, а также расходники (болты, гайки, стопорные штифты, twist locks, подшипники). Позиционируют себя как «leading European specialist manufacturer and supplier of precision parts for Siemens range of gas turbines», ~20 лет в отрасли. Не входит в известный нам британский пул (Score/Centrax/TEG/SJE/Task-Pro).;https://www.ashprecision.co.uk;"sales@ashprecision.co.uk; eng@ashprecision.co.uk";+44 7717 077441;;high;"Сайт ashprecision.co.uk: «ASH Precision is a leading European specialist manufacturer and supplier of precision parts for Siemens range of gas turbines»; модели — «SGT-100, SGT-200, SGT-400, SGT-500, SGT-600, SGT-800» и Ruston «TA, TB & TD»; продукция — «aftermarket hot section parts like blades, vanes and components for industrial gas turbines», материалы nickel/titanium/superalloys, плюс consumables (bolts, nuts, locking pins, twist locks, bearings). Адрес: 11 John Prince's Street, London W1G 0JR; тел. +44 (0)7717 077441; sales@ashprecision.co.uk, eng@ashprecision.co.uk. Замечание: адрес в Лондоне похож на офисный/сервисный — производственную площадку надо уточнять."
ATLA S.r.l.;Италия;Chieri (Torino);покрытия / спецпроцессы / независимый ремонт (MRO);Независимый подрядчик по спецпроцессам и покрытиям для изготовления и ремонта деталей ГТУ: пионер в ремонте и спецпроцессах на лопатках и сопловых аппаратах ВД (HP blades and vanes) для heavy-duty, авиапроизводных и авиадвигателей. Термообработка, NDT, нетрадиционная мехобработка (ЭЭО/ЭХО), инновационные покрытия. Nadcap Gold class по покрытиям и термообработке. Полезен как звено цепочки для восстановления/покрытия деталей горячей части SGT-400, а также как поставщик спецпроцессов для итальянских заводов-изготовителей.;https://www.atla.it;infoatla@atla.it;+39 011 9472346 (факс +39 011 9490409);;med;"Сайт atla.it: «Special Processes and innovative coatings mainly for manufacturing and repair activities on heavy duty, aeroderivative and jet engines gas turbine parts»; «pioneer in Repair and Special Processes on Gas Turbine HP blades and vanes for heavy duty, jet derivatives and jet engines applications»; Nadcap Gold class на coating и heat treating. Контакты со страницы atla.it/contacts/: Via Secondo Caselle 10, 10023 Chieri (TO), тел. +39 011 9472346, факс +39 011 9490409, infoatla@atla.it, VAT IT 02300170012. Основана в 1978, дочерняя компания TAG. Партнёрства упоминаются с MHI (15 лет), GE, Rolls-Royce; линейка Siemens SGT напрямую не указана."
Advanced Turbine Solutions, LLC (ATS);США;Sealy / Houston, Texas;независимый сервис MRO + производство и склад деталей;Ремонт, изготовление и поставка деталей промышленных ГТУ. На складе и в производстве: топливные форсунки (Fuel Nozzles), transition pieces (переходники), combustion baskets (жаровые трубы/корзины камеры сгорания), end caps, flow sleeves, сопловые аппараты 1-3 ступеней, лопатки, бандажные блоки. Заявлено обслуживание GE и Siemens/Westinghouse всех типоразмеров. Цех ~20 000 кв. футов (~1860 м2) с прецизионным оборудованием, сварочными постами и линиями входного контроля. Работают с 2010 г. Линейка SGT-400/Ruston не заявлена — кандидат на изготовление по образцу и на ремонт узлов.;https://atshouston.com;не найдено (только форма на /contact-us-2/);+1 (281) 452-2441;;med;"Страницы atshouston.com/about-us-... и /services-2/: «ATS carries a large inventory of parts such as Fuel Nozzles, Shrouds Blocks, Buckets, 1st to 3rd Stage Nozzles, Turbine Blades, Transition Pieces, Combustion Baskets, End Caps, Flow Sleeves»; «refurbishment of OEM Capital parts for Gas Turbines, GE and Siemens/Westinghouse all frame sizes»; цех 20 000 sq ft в Хьюстоне; «Since 2010». Адрес и телефон подтверждены по каталожным записям: 7312 Palm Road, Sealy, TX 77474, (281) 452-2441. Сайт отдаёт 403 при прямой загрузке — контакты собраны из кэша поиска и каталогов, поэтому телефон стоит перепроверить."
Allied Power Group (APG);США;Houston, TX;независимый сервис MRO + завод новых деталей камеры сгорания;"Независимый производитель и ремонтник деталей камеры сгорания промышленных ГТУ — собственный завод на Farrell Road в Хьюстоне делает combustion liners (жаровые трубы), caps и transition pieces, отдельным направлением идёт ремонт топливных форсунок (fuel nozzle repairs) — прямые аналоги позиций по SGT-400 (камера сгорания MW21215M, горелка DUAL DLE MW22316B/01). Заявлен 'full-service inspection and repair' деталей газовых и паровых турбин, включая устаревшие (mature frame) машины. По моделям на сайте названы GE 7F, Siemens Westinghouse 501F, Siemens V84.2 — линейка Ruston/SGT-400 не подтверждена, надо уточнять запросом; технологии покрытий на сайте не расписаны, требуется прямой запрос.";https://alliedpg.com/;sales@alliedpg.com;+1 281 444 3535;;med;"Сайт: 'Allied Power Group's Combustion Parts are the highest quality combustion liners, caps, and transition pieces in the world. These parts are manufactured in our Farrell Road facility in Houston, TX'; 'full-service inspection and repair of a wide variety of both advanced technological and mature frame gas and steam turbine components'; отдельный раздел ремонта топливных форсунок. Модели: GE 7F, Siemens Westinghouse 501F, Siemens V84.2. Адреса: 10131 Mills Road, Houston, TX 77070 и 2430 Farrell Road, Houston, TX 77073; тел. 281-444-3535; e-mail sales@alliedpg.com. Оговорка: на открытых страницах НЕ подтверждены типы покрытий (TBC/MCrAlY/HVOF/APS/алитирование) — этот пункт требует прямого запроса."
Allied Power Group, LLC (APG);США;Houston, Texas;независимый сервис MRO + собственное производство ЗИП горячей части;"Один из немногих независимых от OEM игроков, кто НЕ ремонтирует, а именно ИЗГОТАВЛИВАЕТ новые листовые детали камеры сгорания — combustion liners, caps (крышки/колпаки) и transition pieces — на собственной площадке Farrell Road в Хьюстоне; отдельное направление — ремонт топливных форсунок (Fuel Nozzle Repair). Технологический парк (формовка листового суперсплава, сварка, сборка узлов) напрямую переносится на жаровую трубу и transition piece SGT-400. Оговорка: профильный парк APG — крупные рамные машины (GE 7EA/7F, Siemens Westinghouse 501F, Siemens V84.2), готовых чертежей под SGT-линейку у них нет, работа будет по образцу/реверс-инжинирингу. В апреле 2026 г. купили генераторное подразделение EthosEnergy.";https://alliedpg.com;sales@alliedpg.com;+1 281-444-3535;не найдено (CEO с апреля 2026 — Jim Mugford, по новости на сайте);med;Главная страница alliedpg.com: «Steeped in the history of CPI, Allied Power Group's Combustion Parts are the highest quality combustion liners, caps, and transition pieces in the world. These parts are MANUFACTURED in our Farrell Road facility in Houston, TX». Страница /solutions/new-refurbished-parts/: «Our cutting-edge Farrell Road plant in Houston, Texas, painstakingly crafts these combustion liners, caps, and transition components … Cap and Liner Assemblies / Transition Pieces / Installation Hardware». Там же: «Since 2005, Allied Power Group has been repairing GE 7F and Siemens Westinghouse 501F industrial gas turbines components» и «the most comprehensive third-party service provider of Siemens V84.2». Контакты в подвале: «Phone: 281-444-3535, Email: sales@alliedpg.com, 10131 Mills Road Houston, TX 77070».
Allied Power Group, LLC (APG) / подразделение Combustion Parts, Inc. (CPI);США;"Houston, Texas (офис 10131 Mills Road; комбустионный завод 2430 Farrell Road)";завод (собственное производство комбустионных деталей) + независимый сервис MRO;"Одно из немногих в США предприятий с СОБСТВЕННЫМ серийным производством камер сгорания: завод на Farrell Road выпускает combustion liners (жаровые трубы), end caps (крышки/торцевые узлы) и transition pieces из сплава Nimonic с термобарьерными покрытиями (TBC). Заявленный объём: >1000 установленных transition pieces по Frame 7, >800 по Frame 6, >400 по Frame 9E; 5800 комбустионных сборок без единой рекламации. Ремонтируют hot gas path и combustion components GE, Westinghouse и «других OEM». Прямой поддержки линейки SGT-400/Ruston НЕ заявлено — релевантность через технологию (Nimonic + TBC + листовая сварка) и возможность изготовления по образцу.";https://alliedpg.com;sales@alliedpg.com;+1 281-444-3535;;med;Страница alliedpg.com/transition-pieces/ перечисляет 6B/7B/7EA/7FA/9E transition pieces, «advanced Nimonic alloy construction and thermal barrier coatings», контакты внизу: «281-444-3535», «sales@alliedpg.com», «10131 Mills Road, Houston, TX 77070» и «2430 Farrell Road, Houston, TX 77073». Раздел /solutions/new-refurbished-parts/: «Farrell Road plant in Houston, Texas… crafts combustion liners, caps, and transition components». Пресс-релиз Businesswire от 17.08.2020: Allied Power Group завершила покупку Combustion Parts Inc. (CPI) — это и есть их комбустионное подразделение. Модели Siemens/Ruston на сайте не упомянуты — отсюда med.
Anhui Yingliu Electromechanical Co., Ltd. / Yingliu Group (安徽应流机电股份有限公司 / 应流集团, SSE 603308);Китай;"Hefei (Хэфэй) — головной офис; литейное производство — Huoshan (Хошань), пров. Аньхой";литейка (investment casting + песчаное литьё) + мехобработка + листовая штамповка/сварка;"Публичная компания, где «авиадвигатели / газовые турбины» заявлены как ключевое направление бизнеса; входит в перечень крупнейших производителей лопаток турбин наряду с Jiangsu Yonghan, Wanze и Tunan. Есть литьё по выплавляемым моделям, HIP (пресс Quintus), листовые/сварные детали — то есть потенциально закрывает и лопатки/NGV, и сварно-листовые узлы горячей части (жаровые трубы, transition pieces). Заявляет кооперацию с GE и Siemens — но это, вероятно, по другим номенклатурам; связь именно с SGT-400 не подтверждена.";http://www.yingliugroup.com;;+86-564-5036612;杜应流 (Ду Инлю, председатель);med;"Baidu Baike (Yingliu Group): крупное частное литейно-кузнечное предприятие, штаб-квартира в уезде Хошань, г. Луань, Аньхой; «maintains business cooperation with several Fortune Global 500 companies, including General Electric (GE) and Siemens»; дочерняя Anhui Yingliu Electromechanical на SSE с 2014 (603308), ключевые направления — «Aero-engine/Gas Turbine» и новые ядерные материалы. MFG.com: возможности — 3D Printing, Investment Casting, Machining, Sand Mold Casting, Sheet Metal, Stamping. Кейс Quintus Technologies по HIP для Anhui Yingliu Group Huoshan Casting. Адреса: 566 Fanhua Ave / 26 Qiyun Rd, Hefei 230601 (LinkedIn); литейка — 96 Pihe Rd, Hengshan Town, Huoshan County 237200 (Panjiva). Прямые контакты отдела продаж в открытом доступе не нашёл."
Aztek Enerji A.Ş.;Турция;Стамбул (Ataşehir);завод / изготовитель компонентов + инжиниринг и полевой сервис;Единственная найденная в Турции компания, прямо заявляющая собственное производство компонентов горячего газового тракта (hot gas path) и компрессорной секции промышленных ГТУ: «разработали и отладили процессы и процедуры для изготовления технологически сложных компонентов, применяемых в промышленных газотурбинных установках». Изготавливают запчасти по допускам и зазорам оригинала, заявляют улучшенные характеристики против оригинала. Дополнительно — мобильные бригады полевого сервиса с контейнерами инструмента для ремонта турбомашин. Потенциальный кандидат на изготовление жаровой трубы / деталей камеры сгорания SGT-400 по образцу.;https://a-ztek.com/turbomachinery-parts/ (редирект на aztekenerji.com);aztek@aztekenerji.com;+90 216 629 93 33;;med;Страница a-ztek.com/turbomachinery-parts/: «produces components associated with the hot gas path and compressor sections», «has developed and refined processes and procedures to manufacture technologically-advanced components used in industrial gas turbine applications», «original spare parts machined to the correct tolerances and clearances». Страница turbomachinery-support-services: мобилизация специалистов с оснащёнными контейнерами инструмента. Адрес: Barbaros Mh., Al Zambak Sk., Varyap Meridian A Blok, No. 2/238, 34746 Ataşehir, İstanbul. Оговорка: домен a-ztek.com редиректит на aztekenerji.com, где турбинные разделы отдают 404, а корпоративная часть подана как инжиниринговая компания — конкретные OEM/модели (Siemens SGT, Ruston) на сайте не названы.
